"row ID","UF","educação sem instrução (Mean)","renda (Mean)","Prediction (pobreza) (Mean)","pobreza (Mean)","nome (Unique count*)","<=2 SM (Sum)","<=3SM (Sum)","> 3SM =1530 (Missing value count)","=/-255.00 percapita domicilio (Mean)","%<2SM","%2SM a 3SM (1020a1530)","%>3SM"
"Row0_Row0","ACRE",76.08517675909015,1304.4493233776911,57.59647296331743,64.70581952242972,17,3,14,3,5.11548754265761,17.647058823529413,64.70588235294117,17.647058823529413
"Row1_Row1","ALAGOAS",78.59165252537497,1043.9464097748319,65.16524820299162,70.83628884076701,74,48,68,6,4.093907489313066,64.86486486486487,27.027027027027028,8.108108108108109
"Row2_Row2","AMAPÁ",70.24868298062088,1615.3977654554415,46.929195381959545,63.36438801457474,12,1,4,8,6.334893197864476,8.333333333333332,25,66.66666666666666
"Row3_Row3","AMAZONAS",78.064176669052,1249.9336336761519,60.015265266994106,73.65064413294114,48,14,40,8,4.901700524220205,29.166666666666668,54.166666666666664,16.666666666666664
"Row4_Row4","BAHIA",74.82691479433161,1124.731700732097,61.1032723546727,64.96544330027464,323,157,289,34,4.410712551890572,48.60681114551084,40.86687306501548,10.526315789473683
"Row5_Row5","CEARÁ",71.36270508250229,1000.7139996976997,62.0331439845535,68.53451176458105,142,94,137,5,3.9243686262654855,66.19718309859155,30.28169014084507,3.5211267605633805
"Row6_Row6","DISTRITO FEDERAL",44.75223692073902,5651.433669723538,-62.680237344631934,18.264193941722905,1,0,0,1,22.16248497930799,0,0,100
"Row7_Row7","ESPIRITO SANTO",65.52639737412018,1939.575409698769,36.590171437491975,36.782654150240994,60,0,14,46,7.6061780772500756,0,23.333333333333332,76.66666666666667
"Row8_Row8","GOIÁS",65.39026139475213,1896.7546959790243,37.51966932061972,33.962604455927064,189,5,42,147,7.4382537097216614,2.6455026455026456,19.576719576719576,77.77777777777779
"Row9_Row9","MARANHÃO",76.19438272430423,1004.3688637231003,64.72053315842643,73.17211339693355,166,107,153,13,3.9387014263651015,64.45783132530121,27.710843373493976,7.83132530120482
"Row10_Row10","MATO GROSSO",66.74671602106706,1959.4126186372823,36.82383570483106,37.360986375173795,105,2,21,84,7.683971053479534,1.9047619047619049,18.095238095238095,80
"Row11_Row11","MATO GROSSO DO SUL",68.69488972977815,1868.9139509416514,40.07167102861361,38.89115511312918,61,4,16,45,7.329074317418241,6.557377049180328,19.672131147540984,73.77049180327869
"Row12_Row12","MINAS GERAIS",69.30983135930215,1677.050891845497,44.939495209763656,41.92005353504464,668,58,301,367,6.57667016409999,8.682634730538922,36.377245508982035,54.94011976047904
"Row13_Row13","PARANÁ",65.18484238875698,2019.871601581057,34.504619590829996,30.272911403921892,295,6,46,249,7.921065104239442,2.0338983050847457,13.559322033898304,84.40677966101696
"Row14_Row14","PARAÍBA",76.45943035198995,1068.2310587289276,63.369890968121545,65.08811527772814,153,89,140,13,4.18914140678011,58.16993464052288,33.33333333333333,8.49673202614379
"Row15_Row15","PARÁ",76.73864296577234,1281.9319279739648,58.501434578425915,67.8582213583351,111,34,85,26,5.02718403127045,30.630630630630627,45.94594594594595,23.423423423423422
"Row16_Row16","PERNAMBUCO",74.57340650039771,1140.4948944091232,60.586824721777084,64.39320177917573,134,68,119,15,4.472528997682839,50.74626865671642,38.059701492537314,11.194029850746269
"Row17_Row17","PIAUÍ",77.8903767929914,975.4144130044516,66.37538240912609,69.39582377867123,171,117,162,9,3.825154560801771,68.42105263157895,26.31578947368421,5.263157894736842
"Row18_Row18","RIO DE JANEIRO",58.48186789568632,2145.86621340089,27.692241117711333,32.372802385873975,72,0,9,63,8.415161621179957,0,12.5,87.5
"Row19_Row19","RIO GRANDE DO NORTE",72.62662653043911,1173.6085145869213,58.690151846000866,61.77546379007747,121,45,107,14,4.602386331713416,37.1900826446281,51.2396694214876,11.570247933884298
"Row20_Row20","RIO GRANDE DO SUL",65.09696628885031,2340.0582544444387,26.919671731726627,24.917315391243353,387,4,46,341,9.176699037036999,1.03359173126615,10.852713178294573,88.11369509043928
"Row21_Row21","RONDÔNIA",71.56359065187314,1727.7653039020695,45.039766530389755,44.226828078101896,37,0,14,23,6.775550211380667,0,37.83783783783784,62.16216216216216
"Row22_Row22","RORAIMA",75.52413517372288,1146.4447691892565,60.99253503105735,67.1774431707079,10,3,10,0,4.49586183995787,30,70,0
"Row23_Row23","SANTA CATARINA",62.705865681647666,2589.205046827544,19.684349888921666,20.899587278345734,222,3,15,207,10.153745281676631,1.3513513513513513,5.405405405405405,93.24324324324324
"Row24_Row24","SERGIPE",73.96361030444079,1132.0326474580893,60.43593059001815,64.75396425711844,55,24,54,1,4.439343715521921,43.63636363636363,54.54545454545454,1.8181818181818181
"Row25_Row25","SÃO PAULO",58.58115300204265,2371.0582272518,22.450100818388012,23.184457664956398,496,6,29,467,9.298267557850185,1.2096774193548387,4.637096774193548,94.15322580645162
"Row26_Row26","TOCANTINS",70.2674148462004,1347.750700648097,53.2381133061234,58.42814563141149,108,18,86,22,5.285296865286654,16.666666666666664,62.96296296296296,20.37037037037037
